index,interported_auc,auc
ob_wu,0.41427609427609424,0.41283333333333333
autism_kb,0.763560606060606,0.7625
asd_son,0.4479898734822977,0.44596380471380465
cdi_schubert,0.9901759596617856,0.9901812236684902
cdi_vincent_v3v5,0.9001250892766045,0.8996000000000001
cdi_youngster,0.9930808080808081,0.993
crc_baxter,0.7478012773520795,0.747798471562538
crc_xiang,0.7349266401387613,0.7343500000000001
crc_zackular,0.4627443798251879,0.4617333333333334
crc_zeller,0.8197030477939571,0.819175925925926
crc_zhao,0.885858755909261,0.8839217171717171
edd_singh,0.9275381076060667,0.9273859365715983
hiv_dinh,0.6635050505050505,0.6605000000000001
hiv_noguerajulian,0.6995624264178006,0.6969619042558844
ibd_alm,0.8073628711355983,0.8076153846153845
ibd_engstrand_maxee,0.6743316555000056,0.675161172161172
ibd_gevers_2014,0.7172859062000475,0.7174856321839078
ibd_huttenhower,0.7663303744515865,0.7666455240665768
mhe_zhang,0.8907575757575756,0.8901666666666668
nash_chan,0.5533423946050209,0.5527261904761904
nash_ob_baker,0.9378838383838384,0.937
ob_escobar,0.95,0.95
ob_goodrich,0.6237401399868172,0.6235205115022928
ob_gordon_2008_v2,0.8562537770871103,0.8561794871794872
ob_jumpertz,0.9359907152331395,0.9362380952380951
ob_ross,0.39051532642441733,0.3890952380952381
ob_zeevi,0.5601982650140085,0.5600870186375739
ob_zupancic,0.5604093161608313,0.5599684023668638
par_scheperjans,0.692133135102832,0.6918696145124718
ra_littman,0.6430216104399109,0.6416503267973855
t1d_alkanani,0.6798316498316498,0.6758264462809918
t1d_mejialeon,0.7757424242424242,0.775
